No.,Crop ID,Crop Name,Plot Type,Planting Season,Yield_per_mu,Cost_per_mu,Selling Price (Yuan/Jin),Min_Price,Max_Price,Avg_Price,Profit_per_mu,Profit_per_jin,Profit_Rate,Revenue_Cost_Ratio,Sharpe_Ratio,Cluster,Class,Class_Final
1,1,Soybean,Flat Dry Land,Single Season,400,400,2.50-4.00,2.5,4.0,3.25,900.0,2.25,2.25,3.25,600.0,2,3,12
2,2,Black Bean,Flat Dry Land,Single Season,500,400,6.50-8.50,6.5,8.5,7.5,3350.0,6.7,8.375,9.375,1675.0,2,3,12
3,3,Red Bean,Flat Dry Land,Single Season,400,350,7.50-9.00,7.5,9.0,8.25,2950.0,7.375,8.428571428571429,9.428571428571429,1966.6666666666667,2,3,12
4,4,Mung Bean,Flat Dry Land,Single Season,350,350,6.00-8.00,6.0,8.0,7.0,2100.0,6.0,6.0,7.0,1050.0,2,3,12
5,5,Climbing Bean,Flat Dry Land,Single Season,415,350,6.00-7.50,6.0,7.5,6.75,2451.25,5.906626506024097,7.003571428571429,8.003571428571428,1634.1666666666667,2,3,12
6,6,Wheat,Flat Dry Land,Single Season,800,450,3.00-4.00,3.0,4.0,3.5,2350.0,2.9375,5.222222222222222,6.222222222222222,2350.0,2,3,12
7,7,Corn,Flat Dry Land,Single Season,1000,500,2.50-3.50,2.5,3.5,3.0,2500.0,2.5,5.0,6.0,2500.0,2,3,12
8,8,Millet,Flat Dry Land,Single Season,400,360,6.00-7.50,6.0,7.5,6.75,2340.0,5.85,6.5,7.5,1560.0,2,3,12
9,9,Sorghum,Flat Dry Land,Single Season,630,400,5.50-6.50,5.5,6.5,6.0,3380.0,5.365079365079366,8.45,9.45,3380.0,2,3,12
10,10,Broomcorn Millet,Flat Dry Land,Single Season,525,360,6.50-8.50,6.5,8.5,7.5,3577.5,6.814285714285714,9.9375,10.9375,1788.75,2,3,12
11,11,Buckwheat,Flat Dry Land,Single Season,110,350,30.00-50.00,30.0,50.0,40.0,4050.0,36.81818181818182,11.571428571428571,12.571428571428571,202.5,3,4,3
12,12,Pumpkin,Flat Dry Land,Single Season,3000,1000,1.00-2.00,1.0,2.0,1.5,3500.0,1.1666666666666667,3.5,4.5,3500.0,2,3,12
