Year,Season,Plot,Crop,Area
2025,1,A1,Black Bean,80.0
2028,1,A1,Black Bean,80.0
2024,1,A2,Black Bean,55.0
2026,1,A2,Black Bean,3.4545454545454684
2029,1,A2,Black Bean,55.0
2025,1,A3,Black Bean,35.0
2026,1,A4,Black Bean,72.0
2029,1,A4,Black Bean,72.0
2027,1,A5,Black Bean,68.0
2030,1,A5,Black Bean,68.0
2028,1,A6,Black Bean,51.1
2030,1,B2,Black Bean,46.0
2025,1,B4,Black Bean,16.94736842105261
2026,1,B4,Black Bean,23.57416267942584
2027,1,B5,Black Bean,25.0
2024,1,B10,Black Bean,25.0
2024,1,B12,Black Bean,20.105263157894736
2027,1,B12,Black Bean,41.421052631578945
2024,1,B13,Black Bean,35.0
2026,1,B13,Black Bean,35.0
2030,1,C3,Black Bean,15.0
2028,1,A3,Red Bean,35.0
2025,1,A6,Red Bean,47.5
2024,1,B1,Red Bean,60.0
2027,1,B1,Red Bean,60.0
2030,1,B1,Red Bean,60.0
2027,1,B3,Red Bean,40.0
2029,1,B3,Red Bean,40.0
2030,1,B3,Red Bean,30.0
2027,1,B4,Red Bean,28.0
2030,1,B4,Red Bean,28.0
2030,1,B5,Red Bean,25.0
2025,1,B6,Red Bean,86.0
2028,1,B6,Red Bean,86.0
2024,1,B7,Red Bean,55.0
2026,1,B7,Red Bean,55.0
2025,1,B8,Red Bean,44.0
2028,1,B8,Red Bean,44.0
2024,1,B9,Red Bean,50.0
2026,1,B9,Red Bean,50.0
2029,1,B9,Red Bean,50.0
2027,1,B10,Red Bean,25.0
2030,1,B10,Red Bean,25.0
2026,1,B11,Red Bean,60.0
2029,1,B11,Red Bean,60.0
2027,1,B13,Red Bean,10.0
2029,1,B13,Red Bean,29.99000000000003
2027,1,C3,Red Bean,15.0
2028,1,C4,Red Bean,13.88888888888889
2027,1,B2,Climbing Bean,46.0
2029,1,B12,Climbing Bean,45.0
2024,1,B14,Climbing Bean,20.0
2026,1,B14,Climbing Bean,20.0
2029,1,B14,Climbing Bean,20.0
2025,1,C1,Climbing Bean,15.0
2028,1,C1,Climbing Bean,15.0
2025,1,C2,Climbing Bean,13.0
2026,1,C2,Climbing Bean,13.0
2028,1,C2,Climbing Bean,13.0
2024,1,C4,Climbing Bean,18.0
2025,1,C4,Climbing Bean,18.0
2025,1,C5,Climbing Bean,27.0
2028,1,C5,Climbing Bean,27.0
2030,1,C5,Climbing Bean,27.0
2027,1,C6,Climbing Bean,20.0
2028,1,C6,Climbing Bean,20.0
2030,1,C6,Climbing Bean,20.0
2024,1,A1,Corn,80.0
2026,1,A1,Corn,80.0
2027,1,A1,Corn,80.0
2029,1,A1,Corn,80.0
2030,1,A1,Corn,80.0
2027,1,A2,Corn,55.0
2028,1,A2,Corn,55.0
2030,1,A2,Corn,55.0
2024,1,A4,Corn,72.0
2025,1,A4,Corn,72.0
2027,1,A4,Corn,72.0
2028,1,A4,Corn,72.0
2030,1,A4,Corn,72.0
2024,1,A5,Corn,68.0
2025,1,A5,Corn,68.0
2026,1,A5,Corn,68.0
2028,1,A5,Corn,68.0
2029,1,A5,Corn,68.0
2024,1,A6,Corn,55.0
2026,1,A6,Corn,7.380952380952381
2029,1,A6,Corn,55.0
2030,1,A6,Corn,55.0
2025,1,B1,Corn,60.0
2025,1,B2,Corn,46.0
2026,1,B2,Corn,46.0
2029,1,B2,Corn,46.0
2024,1,B3,Corn,40.0
2029,1,B5,Corn,25.0
2026,1,B6,Corn,86.0
2030,1,B6,Corn,86.0
2026,1,B8,Corn,44.0
2027,1,B8,Corn,44.0
