No.,Crop ID,Crop Name,Plot Type,Planting Season,Yield_per_mu,Cost_per_mu,Selling Price (Yuan/Jin),Min_Price,Max_Price,Avg_Price
1,1,Soybean,Flat Dry Land,Single Season,400,400,2.50-4.00,2.5,4,3.25
2,2,Black Bean,Flat Dry Land,Single Season,500,400,6.50-8.50,6.5,8.5,7.5
3,3,Red Bean,Flat Dry Land,Single Season,400,350,7.50-9.00,7.5,9,8.25
4,4,Mung Bean,Flat Dry Land,Single Season,350,350,6.00-8.00,6,8,7
5,5,Climbing Bean,Flat Dry Land,Single Season,415,350,6.00-7.50,6,7.5,6.75
6,6,Wheat,Flat Dry Land,Single Season,800,450,3.00-4.00,3,4,3.5
7,7,Corn,Flat Dry Land,Single Season,1000,500,2.50-3.50,2.5,3.5,3
8,8,Millet,Flat Dry Land,Single Season,400,360,6.00-7.50,6,7.5,6.75
9,9,Sorghum,Flat Dry Land,Single Season,630,400,5.50-6.50,5.5,6.5,6
10,10,Broomcorn Millet,Flat Dry Land,Single Season,525,360,6.50-8.50,6.5,8.5,7.5
11,11,Buckwheat,Flat Dry Land,Single Season,110,350,30.00-50.00,30,50,40
12,12,Pumpkin,Flat Dry Land,Single Season,3000,1000,1.00-2.00,1,2,1.5
13,13,Sweet Potato,Flat Dry Land,Single Season,2200,2000,2.50-4.00,2.5,4,3.25
14,14,Naked Oat,Flat Dry Land,Single Season,420,400,5.00-6.00,5,6,5.5
15,15,Barley,Flat Dry Land,Single Season,525,350,3.00-4.00,3,4,3.5
16,1,Soybean,Terraced Field,Single Season,380,400,2.50-4.00,2.5,4,3.25
17,2,Black Bean,Terraced Field,Single Season,475,400,6.50-8.50,6.5,8.5,7.5
18,3,Red Bean,Terraced Field,Single Season,380,350,7.50-9.00,7.5,9,8.25
19,4,Mung Bean,Terraced Field,Single Season,330,350,6.00-8.00,6,8,7
20,5,Climbing Bean,Terraced Field,Single Season,395,350,6.00-7.50,6,7.5,6.75
21,6,Wheat,Terraced Field,Single Season,760,450,3.00-4.00,3,4,3.5
22,7,Corn,Terraced Field,Single Season,950,500,2.50-3.50,2.5,3.5,3
23,8,Millet,Terraced Field,Single Season,380,360,6.00-7.50,6,7.5,6.75
24,9,Sorghum,Terraced Field,Single Season,600,400,5.50-6.50,5.5,6.5,6
25,10,Broomcorn Millet,Terraced Field,Single Season,500,360,6.50-8.50,6.5,8.5,7.5
26,11,Buckwheat,Terraced Field,Single Season,105,350,30.00-50.00,30,50,40
27,12,Pumpkin,Terraced Field,Single Season,2850,1000,1.00-2.00,1,2,1.5
28,13,Sweet Potato,Terraced Field,Single Season,2100,2000,2.50-4.00,2.5,4,3.25
29,14,Naked Oat,Terraced Field,Single Season,400,400,5.00-6.00,5,6,5.5
30,15,Barley,Terraced Field,Single Season,500,350,3.00-4.00,3,4,3.5
31,1,Soybean,Hillside Land,Single Season,360,400,2.50-4.00,2.5,4,3.25
32,2,Black Bean,Hillside Land,Single Season,450,400,6.50-8.50,6.5,8.5,7.5
33,3,Red Bean,Hillside Land,Single Season,360,350,7.50-9.00,7.5,9,8.25
34,4,Mung Bean,Hillside Land,Single Season,315,350,6.00-8.00,6,8,7
35,5,Climbing Bean,Hillside Land,Single Season,375,350,6.00-7.50,6,7.5,6.75
36,6,Wheat,Hillside Land,Single Season,720,450,3.00-4.00,3,4,3.5
37,7,Corn,Hillside Land,Single Season,900,500,2.50-3.50,2.5,3.5,3
38,8,Millet,Hillside Land,Single Season,360,360,6.00-7.50,6,7.5,6.75
39,9,Sorghum,Hillside Land,Single Season,570,400,5.50-6.50,5.5,6.5,6
40,10,Broomcorn Millet,Hillside Land,Single Season,475,360,6.50-8.50,6.5,8.5,7.5
41,11,Buckwheat,Hillside Land,Single Season,100,350,30.00-50.00,30,50,40
42,12,Pumpkin,Hillside Land,Single Season,2700,1000,1.00-2.00,1,2,1.5
43,13,Sweet Potato,Hillside Land,Single Season,2000,2000,2.50-4.00,2.5,4,3.25
44,14,Naked Oat,Hillside Land,Single Season,380,400,5.00-6.00,5,6,5.5
45,15,Barley,Hillside Land,Single Season,475,350,3.00-4.00,3,4,3.5
46,16,Rice,Irrigated Land,Single Season,500,680,6.00-8.00,6,8,7
47,17,Cowpea,Irrigated Land,First Season,3000,2000,7.00-9.00,7,9,8
48,18,Sword Bean,Irrigated Land,First Season,2000,1000,5.50-8.00,5.5,8,6.75
49,19,Kidney Bean,Irrigated Land,First Season,3000,2000,5.00-8.00,5,8,6.5
50,20,Potato,Irrigated Land,First Season,2000,2000,3.00-4.50,3,4.5,3.75
51,21,Tomato,Irrigated Land,First Season,2400,2000,5.00-7.50,5,7.5,6.25
52,22,Eggplant,Irrigated Land,First Season,6400,2000,5.00-6.00,5,6,5.5
53,23,Spinach ,Irrigated Land,First Season,2700,2300,4.80-6.70,4.8,6.7,5.75
54,24,Green Pepper,Irrigated Land,First Season,2400,1600,4.00-6.50,4,6.5,5.25
55,25,Cauliflower,Irrigated Land,First Season,3300,2400,5.00-6.00,5,6,5.5
56,26,Cabbage,Irrigated Land,First Season,3700,2900,5.50-7.50,5.5,7.5,6.5
57,27,Romaine Lettuce,Irrigated Land,First Season,4100,1600,4.00-6.00,4,6,5
58,28,Baby Bok Choy,Irrigated Land,First Season,3200,1600,5.00-6.50,5,6.5,5.75
59,29,Cucumber,Irrigated Land,First Season,12000,2900,6.00-8.00,6,8,7
60,30,Lettuce ,Irrigated Land,First Season,4100,1600,4.50-6.00,4.5,6,5.25
61,31,Chili Pepper,Irrigated Land,First Season,1600,1000,6.00-8.50,6,8.5,7.25
62,32,Water Spinach,Irrigated Land,First Season,10000,4100,3.00-6.00,3,6,4.5
63,33,Yellow Heart Cabbage,Irrigated Land,First Season,5000,2000,4.00-5.00,4,5,4.5
